	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
GCST90269604_EFO_0022269	0.077791	0.8494999999999999	42897.0	24.0	0.0176376	9.936167471296297	45.0	1537.0	60.0085	1.0011	Common
GCST90018784_EFO_0000274	0.27396	0.839	35030.0	21.0	0.0407742	21.201217037037036	54.0	1658.0	43.156	0.9896666666666666	Common
GCST90025978_EFO_0004713	0.003385000000000013	0.7535000000000001	175592.5	26.0	0.01950441	7.639705587037037	48.5	2699.5	141.945	1.0719375	Common
GCST004603_EFO_0004309	-0.151825	0.7115	70632.0	18.0	0.032264799999999996	13.338135462962963	53.0	1533.5	45.739000000000004	1.0282499999999999	Common
GCST90043627_EFO_0000400	0.03267	0.474	217431.0	42.0	0.0658475	20.543031851851858	54.0	1479.0	49.939	1.101	Common
GCST90281295_EFO_0003843	0.043943	0.854	87771.0	14.0	0.0183567	13.231754703703707	53.0	1671.0	50.224	1.138	Common
GCST90269632_EFO_0022176	0.068141	0.762	51046.0	20.0	0.02735635	12.01094651851852	49.0	2022.0	62.059	1.026	Common
GCST90455518_MONDO_0008903	0.7640899999999999	0.77	56798.5	22.0	0.017700650000000002	10.443735462962962	40.0	1519.0	48.4945	1.024	Common
GCST008394_EFO_0003884	-0.03021225	0.44399999999999995	134173.0	19.5	0.03341705	16.11253321574074	45.5	2562.5	78.7215	1.107	Common
GCST90269588_EFO_0022230	0.056437	0.751	80810.0	20.0	0.0211657	15.43998074074074	53.0	2455.0	74.485	1.026	Common
GCST008257_EFO_0009959	-0.0056555799999999995	0.6625	565181.0	8.0	0.04434086	2.829737140740741	24.5	1356.0	53.8005	1.1315	Common
GCST007208_EFO_0004242	-0.28164	0.843	134905.0	16.0	0.004360905	7.915976296296298	53.0	1724.0	51.923	1.0538181818181818	Common
GCST90269539_EFO_0005110	0.27523	0.815	38486.0	25.0	0.00768025	7.685860255555554	49.0	1878.0	63.367	1.026	Common
GCST90269743_EFO_0022254	-0.13786	0.815	31349.0	25.0	0.0391555	13.036009055555557	52.0	1446.0	63.367	1.026	Common
GCST010866_EFO_0001645	0.054501	0.618	117072.0	20.0	0.0475906	14.078035561111108	53.0	1735.5	55.721	1.0547499999999999	Common
GCST90011812_MONDO_0008903	0.1743385	0.8434999999999999	49297.0	9.5	0.00957829	4.4886663990740745	49.5	1668.0	59.0455	0.8833333333333333	Common
GCST001966_EFO_0005240	-0.25489	0.474	74964.0	20.0	0.103617	33.238197222222226	54.0	1140.0	56.366	1.138	Common
GCST90018969_EFO_0004309	0.16825	0.658	94776.0	15.0	0.041612949999999996	12.04598898148148	53.0	1665.5	54.579	1.0678636363636365	Common
GCST90134284_MONDO_0005178	0.10556	0.682	110614.0	18.0	0.0403476	4.966997481481481	49.0	1313.0	66.288	1.0596	Common
GCST004999_EFO_0007204	0.20318	0.841	210306.0	8.0	0.0296255	6.742445833333331	51.0	1373.0	40.294	1.0336666666666667	Common
GCST90239610_EFO_0004530	0.063051	0.866	54957.0	22.0	0.0176376	7.50994280185185	47.0	1878.0	62.059	1.025	Common
GCST90258651_EFO_0004509	0.200845	0.6890000000000001	103980.5	15.0	0.05106485	15.616243888888892	54.0	1914.5	80.8755	1.0745166666666668	Common
GCST90293085_EFO_0004502	-0.6314550000000001	0.601	204019.5	12.0	0.03188155	12.096840871296298	54.0	1493.0	46.936	1.0321	Common
GCST006409_EFO_0005854	-0.10094	0.663	104148.0	18.0	0.08457085	16.628731666666667	54.0	1574.0	44.284	1.11	Common
GCST006304_EFO_0000555	0.2082795	0.5375	141786.0	14.5	0.0719833	11.81553924074074	51.5	1859.0	83.263	1.08	Common
GCST90204167_EFO_0004705	0.47265	0.765	96611.0	16.0	0.0183794	8.145913833333333	49.0	1989.0	66.392	1.026	Common
GCST90269734_EFO_0022279	-0.13786	0.918	27672.0	26.0	0.00816304	13.036009055555557	50.0	1528.0	55.721	1.026	Common
GCST90025997_EFO_0005090	0.51876	0.984	20725.0	18.0	0.00176014	10.196876816666666	48.0	1629.0	56.138	1.021	Common
GCST90269555_EFO_0022302	0.217165	0.6865	58722.5	17.5	0.02323915	16.018326574074074	53.0	1881.0	71.7735	0.99825	Common
GCST90269615_EFO_0022300	0.1102205	0.76	42695.0	23.0	0.0176376	12.149035121296297	51.0	1897.5	64.607	1.0253333333333332	Common
GCST009726_MONDO_0005041	-0.33225	0.626	181212.0	11.0	0.0658475	17.18492592592592	54.0	1390.0	60.029	1.101	Common
GCST90092939_EFO_0010733	0.134985	0.8414999999999999	68908.0	21.0	0.00864248	9.012045562037038	51.5	1570.0	57.3445	1.026	Common
GCST004902_MONDO_0005180	0.12949	0.859	105369.0	21.5	0.0141116	14.279609814814814	50.0	1548.5	46.0735	1.0757727272727273	Common
GCST90011804_MONDO_0007254	0.083924	0.609	218984.0	13.0	0.0417215	6.55629555	51.0	1523.0	52.532	1.05	Common
GCST90448601_EFO_0004570	-0.16675	0.951	102249.0	15.0	0.031676715	10.713976462962965	52.0	1857.0	82.7355	1.0815000000000001	Common
GCST008159_EFO_0007788	0.021062	0.689	107539.0	11.0	0.032645	8.804399529629633	39.0	2031.0	62.541	1.0532	Common
GCST005838_EFO_0000712	-0.42295	0.348	118494.0	22.0	0.139238	13.50434333333333	52.0	2297.0	90.224	1.138	Common
GCST008103_MONDO_0004985	0.15200000000000002	0.512	174472.0	16.0	0.072808	9.977589444444444	52.0	2121.0	76.795	1.1054285714285714	Common
GCST90095475_EFO_0000275	0.94928	0.986	154848.0	13.0	0.00847121	8.352880185185183	54.0	1149.0	31.667	1.138	Common
GCST009120_EFO_0009270	0.06012	0.6265000000000001	375909.5	21.0	0.0697651	5.069420675	23.0	1756.0	62.214	1.077	Common
GCST005831_MONDO_0007915	-0.4295	0.683	96349.0	19.0	0.0379682	4.617216851851853	54.0	793.0	33.808	1.1336666666666666	Common
GCST90448602_EFO_0004838	0.85468	0.469	93043.0	20.0	0.0525342	14.819708333333326	54.0	1617.0	36.673	1.106	Common
GCST90018955_EFO_0004468	0.06415	0.696	76209.0	16.0	0.03249025	14.143208703703705	54.0	1558.0	60.085	1.0708	Common
GCST90018745_EFO_0004528	0.031811	0.821	50601.0	24.0	0.01650615	13.546742962962965	54.0	1483.0	50.786	1.026	Common
GCST90132904_EFO_0006336	0.14272	0.671	109764.0	16.0	0.0375931	11.309522592592591	53.0	1942.0	65.019	1.054	Common
GCST90301982_EFO_0008595	0.371115	0.849	41489.0	18.0	0.00739332	10.874055223148147	52.0	1950.0	71.057	1.026	Common
GCST90018964_EFO_0004527	0.00924495	0.6944999999999999	75163.0	16.0	0.0405342	14.028431481481482	54.0	1566.0	50.021	1.072	Common
