Entrez	post_mean	log_post_mean
5277	0.191137	0.7186552347637508
2909	0.191219	0.7184689573256459
1456	0.191246	0.7184076395526163
6668	0.191372	0.7181216043598242
8499	0.191458	0.7179264821067513
6602	0.191467	0.7179060674023686
7067	0.191501	0.7178289538449774
1948	0.191508	0.7178130792238919
2091	0.191586	0.7176362298341518
10140	0.19161	0.7175818291223526
2197	0.191613	0.7175750295124871
6173	0.1917	0.7173778871219374
54821	0.191839	0.7170630980880842
7021	0.191985	0.7167327018782798
10046	0.192109	0.716452288658459
23132	0.192268	0.716092991267818
8929	0.192367	0.7158694278653306
60680	0.192519	0.7155264028413955
9794	0.192819	0.714850173811845
5307	0.19285	0.7147803567979394
57631	0.192876	0.7147218092458086
5976	0.192985	0.7144764457610998
112755	0.193018	0.714402188732332
7182	0.193163	0.7140760582244342
6885	0.193193	0.7140086135129076
9745	0.193197	0.713999621676019
10949	0.193255	0.7138692609577952
10213	0.193268	0.7138400475434997
1785	0.193576	0.7131484885238906
10294	0.193721	0.7128232977642501
4534	0.193879	0.7124692289719827
2885	0.193987	0.7122273732524417
4204	0.194067	0.7120483076634028
9592	0.194114	0.7119431410491213
54328	0.194135	0.7118961599409723
1937	0.194164	0.7118312896219727
9859	0.194174	0.7118089227929733
7224	0.194422	0.7112545936380952
342371	0.194812	0.7103842950278862
136319	0.194869	0.7102572434875493
4000	0.19495	0.7100767604759954
5862	0.194959	0.7100567114371796
6637	0.194998	0.7099698429627033
23152	0.195079	0.7097894793240381
5716	0.195116	0.7097071159114953
3796	0.195232	0.7094489966877066
1051	0.195316	0.709262178488446
6175	0.195426	0.7090176570688322
92	0.195462	0.7089376617689369
7737	0.195506	0.7088399097417407
7094	0.195696	0.708418051172256
9685	0.195813	0.7081584788206865
1314	0.196143	0.7074271864669964
55666	0.196157	0.7073961891549942
3460	0.196199	0.7073032104911807
64101	0.196301	0.7070774880037854
3624	0.19644	0.7067700745404337
988	0.196448	0.7067523882997967
26224	0.196584	0.7064518323557708
7917	0.196703	0.7061890164227566
5253	0.196723	0.7061448612848371
27301	0.196801	0.70597269912938
56894	0.196845	0.7058756121157519
83607	0.196922	0.7057057620494294
10299	0.196983	0.7055712526443298
9564	0.197117	0.7052759191613677
673	0.197199	0.7050952917050665
10365	0.197315	0.7048398981760532
494470	0.197423	0.7046022529267186
5683	0.197456	0.7045296650304964
25957	0.197485	0.7044658856811868
2932	0.197644	0.7041163652645646
6301	0.19766	0.7040812089711082
158586	0.197946	0.7034532698424637
9520	0.197983	0.7033720992493666
83737	0.198079	0.7031615651861178
58509	0.198164	0.7029752399688748
7027	0.198315	0.7026444357147374
149076	0.19835	0.7025677951898307
4928	0.198494	0.702252616388393
3189	0.198604	0.7020120088092499
7325	0.198802	0.7015792508009053
54413	0.198861	0.7014503810060272
22848	0.198971	0.701210217347866
481	0.198979	0.7011927560795876
56888	0.198985	0.701179660589083
9044	0.19915	0.7008196892546532
6429	0.199763	0.6994849484617626
324	0.199796	0.6994132107812928
6654	0.199798	0.699408863423906
5708	0.199854	0.6992871550819197
23020	0.19991	0.6991654808383877
23131	0.199932	0.6991176895677782
2120	0.199938	0.6991046564975724
29035	0.200081	0.6987941506788103
22864	0.200148	0.6986487452706099
1128	0.200155	0.6986335564692587
4693	0.200193	0.6985511122439254
9043	0.200234	0.6984621768133962
10180	0.200254	0.698418800284535
2354	0.200333	0.6982475053372943
54890	0.200346	0.6982193240337236
3014	0.200423	0.6980524414878279
27018	0.200516	0.6978509675102833
7355	0.200518	0.6978466357630309
23352	0.200633	0.6975976329347341
164	0.200848	0.6971324885192572
1911	0.200865	0.6970957309027661
64506	0.200965	0.6968795725816508
26512	0.20146	0.6958111703851568
9363	0.201515	0.69569262111211
89796	0.201569	0.6955762587550676
8541	0.201775	0.6951326440190065
7328	0.201842	0.6949884591578397
50945	0.201884	0.6948980990209858
287	0.202024	0.6945970342740565
7799	0.202153	0.694319809246072
54502	0.202166	0.6942918816529254
5706	0.202435	0.69371439799448
55671	0.20251	0.6935535263377602
5454	0.202656	0.6932405336527752
56970	0.20277	0.6929962988368443
8533	0.202797	0.6929384738608048
10673	0.202816	0.6928977868258124
84759	0.202821	0.6928870803448473
26108	0.202824	0.6928806565829582
154743	0.202956	0.6925981050839521
29934	0.203023	0.6924547590953583
29107	0.203412	0.6916234300757308
100131390	0.203486	0.6914654652195991
7337	0.203504	0.6914270500217841
22893	0.203674	0.6910644073141063
2892	0.203696	0.6910174992029978
10014	0.203934	0.6905103623463473
65264	0.204194	0.6899570232930593
1822	0.204202	0.6899400086511154
23133	0.205474	0.687243124497906
54915	0.20563	0.6869135244821982
8609	0.205646	0.6868797334916519
22919	0.205649	0.6868733979736139
7545	0.205882	0.6863816215334626
55740	0.205985	0.6861644041668439
1434	0.206159	0.6857977010517151
55079	0.206339	0.6854186785512213
7175	0.206433	0.6852208759773809
27330	0.206483	0.685115698535958
1500	0.206731	0.6845943945896054
149986	0.207055	0.6839142776166104
54904	0.207175	0.6836626524842623
9811	0.207292	0.6834174582674373
63893	0.20748	0.6830237606784526
29927	0.208229	0.6814587865309808
65986	0.208308	0.6812940507957077
23506	0.208406	0.6810897818726038
22948	0.208449	0.6810001839894643
3209	0.208557	0.6807752289284136
491	0.208572	0.680743994383554
26043	0.208611	0.6806627950784838
161	0.208718	0.6804400954310502
6853	0.209047	0.679756060559366
11100	0.209047	0.679756060559366
57178	0.209067	0.6797145126100284
6780	0.209116	0.6796127369294739
9086	0.209154	0.6795338252678308
6257	0.209227	0.6793822720304674
2521	0.209277	0.6792784989520813
2245	0.209328	0.6791726759509864
23360	0.209333	0.6791623025347397
6666	0.209355	0.6791166624466041
5528	0.209439	0.6789424443968274
55596	0.20945	0.6789196353027618
7392	0.209615	0.6785776425655157
8816	0.209667	0.6784699188226659
23318	0.209689	0.6784243514354787
1869	0.209751	0.6782959599703151
10691	0.209887	0.6780144599555084
5789	0.209893	0.6780020450386871
130497	0.209931	0.6779234254725957
29978	0.210183	0.6774024134493564
7290	0.210248	0.6772681267695035
1282	0.210418	0.6769171116366299
11335	0.210595	0.6765519441580685
643376	0.210605	0.6765313223877939
10957	0.210712	0.6763107307166165
6496	0.211311	0.6750778947368166
152485	0.211472	0.6747471273456663
5970	0.211534	0.6746198182386048
5216	0.211695	0.6742893994111652
2302	0.211697	0.6742852964098623
116138	0.21172	0.6742381146807698
9935	0.211905	0.6738587957819339
51684	0.212078	0.6735043808665294
6133	0.212125	0.6734081446742678
10746	0.212345	0.6729579607056762
155435	0.212556	0.6725266313220597
7704	0.212605	0.6724265260456703
